Force (N),Displacement (cm),Angular Deflection (deg.)
1.0851085108510852,-4.153835944905177,-242.9936780660316
1.0901090109010902,-4.172978046033774,-244.1134646008981
1.095109510951095,-4.192120147162368,-245.23325113576456
1.1001100110011002,-4.211262248290963,-246.3530376706311
1.1051105110511052,-4.230404349419558,-247.47282420549763
1.11011101110111,-4.249546450548154,-248.59261074036408
1.1151115111511152,-4.268688551676749,-249.71239727523061
1.1201120112011203,-4.2878306528053445,-250.83218381009712
1.125112511251125,-4.306972753933939,-251.9519703449636
1.1301130113011302,-4.326114855062535,-253.07175687983013
1.1351135113511353,-4.345256956191131,-254.19154341469667
1.14011401140114,-4.3643990573197256,-255.3113299495631
1.1451145114511452,-4.383541158448321,-256.4311164844296
1.1501150115011503,-4.402683259576916,-257.55090301929613
1.155115511551155,-4.421825360705512,-258.67068955416266
1.1601160116011602,-4.440967461834107,-259.79047608902914
1.1651165116511653,-4.460109562962702,-260.9102626238957
1.17011701170117,-4.479251664091297,-262.03004915876215
1.1751175117511752,-4.498393765219893,-263.14983569362863
1.1801180118011803,-4.517535866348488,-264.26962222849517
1.185118511851185,-4.536677967477083,-265.3894087633617
1.1901190119011902,-4.555820068605678,-266.5091952982282
1.1951195119511953,-4.574962169734274,-267.6289818330947
1.2001200120012,-4.594104270862869,-268.7487683679612
1.2051205120512052,-4.6132463719914645,-269.86855490282767
1.2101210121012103,-4.632388473120059,-270.9883414376942
1.215121512151215,-4.651530574248654,-272.1081279725607
1.2201220122012202,-4.67067267537725,-273.2279145074272
1.2251225122512253,-4.689814776505846,-274.3477010422937
1.2301230123012301,-4.70895687763444,-275.4674875771602
1.2351235123512352,-4.728098978763037,-276.58727411202676
1.2401240124012403,-4.747241079891632,-277.70706064689324
1.2451245124512451,-4.766383181020227,-278.8268471817597
1.2501250125012502,-4.7855252821488214,-279.9466337166262
1.2551255125512553,-4.804667383277417,-281.06642025149273
1.2601260126012601,-4.823809484406012,-282.18620678635926
1.2651265126512652,-4.842951585534608,-283.3059933212258
1.2701270127012703,-4.862093686663203,-284.4257798560923
1.2751275127512751,-4.881235787791798,-285.54556639095875
1.2801280128012802,-4.900377888920394,-286.66535292582523
1.2851285128512853,-4.91951999004899,-287.78513946069177
1.2901290129012901,-4.9386620911775845,-288.9049259955583
1.2951295129512952,-4.957804192306179,-290.02471253042484
1.3001300130013003,-4.976946293434774,-291.1444990652913
1.3051305130513051,-4.99608839456337,-292.26428560015773
1.3101310131013102,-5.015230495691965,-293.38407213502427
1.3151315131513153,-5.034372596820561,-294.5038586698908
1.3201320132013201,-5.053514697949155,-295.62364520475734
1.3251325132513252,-5.072656799077752,-296.7434317396239
1.3301330133013303,-5.0917989002063475,-297.8632182744903
1.3351335133513351,-5.1109410013349414,-298.98300480935677
1.3401340134013402,-5.130083102463537,-300.1027913442233
1.3451345134513453,-5.149225203592132,-301.22257787908984
1.3501350135013501,-5.168367304720728,-302.3423644139563
1.3551355135513552,-5.1875094058493225,-303.46215094882285
1.3601360136013603,-5.206651506977918,-304.58193748368933
1.3651365136513651,-5.225793608106513,-305.7017240185558
1.3701370137013702,-5.244935709235109,-306.82151055342234
1.3751375137513753,-5.264077810363705,-307.9412970882889
1.3801380138013801,-5.283219911492299,-309.06108362315535
1.3851385138513852,-5.302362012620894,-310.1808701580219
1.3901390139013903,-5.32150411374949,-311.30065669288837
1.3951395139513951,-5.340646214878085,-312.42044322775484
1.4001400140014002,-5.35978831600668,-313.5402297626214
1.4051405140514053,-5.378930417135276,-314.6600162974879
1.4101410141014101,-5.398072518263871,-315.7798028323544
1.4151415141514152,-5.417214619392467,-316.8995893672209
1.4201420142014203,-5.436356720521062,-318.0193759020874
1.4251425142514251,-5.455498821649657,-319.1391624369539
1.4301430143014302,-5.474640922778253,-320.2589489718204
1.4351435143514353,-5.493783023906848,-321.37873550668695
1.4401440144014401,-5.5129251250354425,-322.49852204155343
1.4451445144514452,-5.532067226164037,-323.61830857641996
1.4501450145014503,-5.551209327292634,-324.73809511128644
1.4551455145514551,-5.570351428421228,-325.8578816461529
1.4601460146014602,-5.5894935295498245,-326.9776681810194
1.4651465146514653,-5.60863563067842,-328.09745471588593
1.4701470147014701,-5.627777731807014,-329.21724125075247
1.4751475147514752,-5.646919832935611,-330.337027785619
1.4801480148014803,-5.6660619340642056,-331.45681432048553
1.4851485148514851,-5.6852040351928,-332.5766008553519
1.4901490149014902,-5.704346136321395,-333.69638739021843
1.4951495149514953,-5.723488237449991,-334.816173925085
1.5001500150015001,-5.742630338578586,-335.93596045995145
1.5051505150515052,-5.7617724397071814,-337.05574699481804
1.5101510151015103,-5.780914540835778,-338.17553352968446
1.5151515151515151,-5.800056641964372,-339.29532006455094
1.5201520152015202,-5.819198743092967,-340.4151065994175
1.5251525152515253,-5.838340844221563,-341.534893134284
1.5301530153015301,-5.857482945350157,-342.65467966915054
1.5351535153515352,-5.876625046478753,-343.774466204017
1.5401540154015403,-5.895767147607349,-344.8942527388836
1.5451545154515451,-5.914909248735944,-346.01403927375003
1.5501550155015502,-5.934051349864539,-347.1338258086165
1.5551555155515553,-5.953193450993134,-348.25361234348304
1.5601560156015601,-5.97233555212173,-349.3733988783495
1.5651565156515652,-5.9914776532503256,-350.4931854132161
1.5701570157015703,-6.01061975437892,-351.6129719480826
1.5751575157515751,-6.029761855507516,-352.732758482949
1.5801580158015802,-6.048903956636111,-353.85254501781554
1.5851585158515853,-6.068046057764707,-354.9723315526821
1.5901590159015901,-6.087188158893301,-356.0921180875486
1.5951595159515952,-6.106330260021896,-357.2119046224151
1.6001600160016003,-6.125472361150493,-358.3316911572816
1.6051605160516051,-6.144614462279087,-359.45147769214805
1.6101610161016102,-6.163756563407683,-360.5712642270146
1.6151615161516153,-6.182898664536278,-361.6910507618811
